"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cmf_ura","TimeFrame","GeoVintage","Source","Location"
"Census Tract","37001021205","NC","37001021205","=""37001021205""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021206","NC","37001021206","=""37001021206""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021207","NC","37001021207","=""37001021207""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021300","NC","37001021300","=""37001021300""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021400","NC","37001021400","=""37001021400""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021500","NC","37001021500","=""37001021500""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021600","NC","37001021600","=""37001021600""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021701","NC","37001021701","=""37001021701""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021702","NC","37001021702","=""37001021702""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021703","NC","37001021703","=""37001021703""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021801","NC","37001021801","=""37001021801""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021802","NC","37001021802","=""37001021802""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021803","NC","37001021803","=""37001021803""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021901","NC","37001021901","=""37001021901""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021902","NC","37001021902","=""37001021902""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001022001","NC","37001022001","=""37001022001""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001022002","NC","37001022002","=""37001022002""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040100","NC","37003040100","=""37003040100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040200","NC","37003040200","=""37003040200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040300","NC","37003040300","=""37003040300""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040400","NC","37003040400","=""37003040400""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040500","NC","37003040500","=""37003040500""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040600","NC","37003040600","=""37003040600""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37003040700","NC","37003040700","=""37003040700""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37005950100","NC","37005950100","=""37005950100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37005950200","NC","37005950200","=""37005950200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37005950300","NC","37005950300","=""37005950300""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920100","NC","37007920100","=""37007920100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920200","NC","37007920200","=""37007920200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920301","NC","37007920301","=""37007920301""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920302","NC","37007920302","=""37007920302""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920400","NC","37007920400","=""37007920400""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920501","NC","37007920501","=""37007920501""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920502","NC","37007920502","=""37007920502""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007920600","NC","37007920600","=""37007920600""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37007980000","NC","37007980000","=""37007980000""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970200","NC","37009970200","=""37009970200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970300","NC","37009970300","=""37009970300""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970400","NC","37009970400","=""37009970400""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970501","NC","37009970501","=""37009970501""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970502","NC","37009970502","=""37009970502""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970701","NC","37009970701","=""37009970701""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970702","NC","37009970702","=""37009970702""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970801","NC","37009970801","=""37009970801""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37009970802","NC","37009970802","=""37009970802""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37011930100","NC","37011930100","=""37011930100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37011930200","NC","37011930200","=""37011930200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37011930301","NC","37011930301","=""37011930301""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37011930302","NC","37011930302","=""37011930302""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37011930400","NC","37011930400","=""37011930400""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930101","NC","37013930101","=""37013930101""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930102","NC","37013930102","=""37013930102""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930200","NC","37013930200","=""37013930200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930300","NC","37013930300","=""37013930300""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930400","NC","37013930400","=""37013930400""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930501","NC","37013930501","=""37013930501""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930502","NC","37013930502","=""37013930502""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930600","NC","37013930600","=""37013930600""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930700","NC","37013930700","=""37013930700""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930800","NC","37013930800","=""37013930800""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013930900","NC","37013930900","=""37013930900""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013931001","NC","37013931001","=""37013931001""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37013931002","NC","37013931002","=""37013931002""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37015960100","NC","37015960100","=""37015960100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37015960200","NC","37015960200","=""37015960200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37015960300","NC","37015960300","=""37015960300""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37015960401","NC","37015960401","=""37015960401""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37015960402","NC","37015960402","=""37015960402""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950101","NC","37017950101","=""37017950101""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950102","NC","37017950102","=""37017950102""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950200","NC","37017950200","=""37017950200""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950301","NC","37017950301","=""37017950301""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950302","NC","37017950302","=""37017950302""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950401","NC","37017950401","=""37017950401""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950402","NC","37017950402","=""37017950402""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950501","NC","37017950501","=""37017950501""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950502","NC","37017950502","=""37017950502""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950601","NC","37017950601","=""37017950601""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37017950602","NC","37017950602","=""37017950602""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020101","NC","37019020101","=""37019020101""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020102","NC","37019020102","=""37019020102""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020105","NC","37019020105","=""37019020105""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020106","NC","37019020106","=""37019020106""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020107","NC","37019020107","=""37019020107""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020108","NC","37019020108","=""37019020108""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020201","NC","37019020201","=""37019020201""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020203","NC","37019020203","=""37019020203""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020204","NC","37019020204","=""37019020204""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020205","NC","37019020205","=""37019020205""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020206","NC","37019020206","=""37019020206""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020304","NC","37019020304","=""37019020304""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020305","NC","37019020305","=""37019020305""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020306","NC","37019020306","=""37019020306""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020307","NC","37019020307","=""37019020307""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020308","NC","37019020308","=""37019020308""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020311","NC","37019020311","=""37019020311""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020312","NC","37019020312","=""37019020312""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020313","NC","37019020313","=""37019020313""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020314","NC","37019020314","=""37019020314""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020315","NC","37019020315","=""37019020315""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020316","NC","37019020316","=""37019020316""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020404","NC","37019020404","=""37019020404""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020405","NC","37019020405","=""37019020405""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020406","NC","37019020406","=""37019020406""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020407","NC","37019020407","=""37019020407""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020408","NC","37019020408","=""37019020408""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020409","NC","37019020409","=""37019020409""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020504","NC","37019020504","=""37019020504""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020505","NC","37019020505","=""37019020505""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020508","NC","37019020508","=""37019020508""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020510","NC","37019020510","=""37019020510""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020511","NC","37019020511","=""37019020511""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020512","NC","37019020512","=""37019020512""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020513","NC","37019020513","=""37019020513""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020514","NC","37019020514","=""37019020514""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020515","NC","37019020515","=""37019020515""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020516","NC","37019020516","=""37019020516""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020517","NC","37019020517","=""37019020517""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020518","NC","37019020518","=""37019020518""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020601","NC","37019020601","=""37019020601""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020602","NC","37019020602","=""37019020602""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019020603","NC","37019020603","=""37019020603""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37019990100","NC","37019990100","=""37019990100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000100","NC","37021000100","=""37021000100""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000200","NC","37021000200","=""37021000200""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000300","NC","37021000300","=""37021000300""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000400","NC","37021000400","=""37021000400""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000500","NC","37021000500","=""37021000500""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000600","NC","37021000600","=""37021000600""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000700","NC","37021000700","=""37021000700""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000800","NC","37021000800","=""37021000800""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021000900","NC","37021000900","=""37021000900""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001000","NC","37021001000","=""37021001000""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001100","NC","37021001100","=""37021001100""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001200","NC","37021001200","=""37021001200""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001300","NC","37021001300","=""37021001300""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001401","NC","37021001401","=""37021001401""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001402","NC","37021001402","=""37021001402""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001500","NC","37021001500","=""37021001500""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001601","NC","37021001601","=""37021001601""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001602","NC","37021001602","=""37021001602""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001700","NC","37021001700","=""37021001700""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001801","NC","37021001801","=""37021001801""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001802","NC","37021001802","=""37021001802""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021001900","NC","37021001900","=""37021001900""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002000","NC","37021002000","=""37021002000""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002101","NC","37021002101","=""37021002101""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002102","NC","37021002102","=""37021002102""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002203","NC","37021002203","=""37021002203""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002204","NC","37021002204","=""37021002204""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002205","NC","37021002205","=""37021002205""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002206","NC","37021002206","=""37021002206""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002303","NC","37021002303","=""37021002303""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002304","NC","37021002304","=""37021002304""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002305","NC","37021002305","=""37021002305""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002306","NC","37021002306","=""37021002306""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002401","NC","37021002401","=""37021002401""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002402","NC","37021002402","=""37021002402""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002503","NC","37021002503","=""37021002503""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002504","NC","37021002504","=""37021002504""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002505","NC","37021002505","=""37021002505""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002506","NC","37021002506","=""37021002506""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002603","NC","37021002603","=""37021002603""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002604","NC","37021002604","=""37021002604""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002606","NC","37021002606","=""37021002606""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002607","NC","37021002607","=""37021002607""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002608","NC","37021002608","=""37021002608""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002609","NC","37021002609","=""37021002609""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002701","NC","37021002701","=""37021002701""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002702","NC","37021002702","=""37021002702""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002704","NC","37021002704","=""37021002704""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002705","NC","37021002705","=""37021002705""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002803","NC","37021002803","=""37021002803""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002804","NC","37021002804","=""37021002804""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021002900","NC","37021002900","=""37021002900""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003002","NC","37021003002","=""37021003002""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003003","NC","37021003003","=""37021003003""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003004","NC","37021003004","=""37021003004""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003103","NC","37021003103","=""37021003103""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003105","NC","37021003105","=""37021003105""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003106","NC","37021003106","=""37021003106""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003107","NC","37021003107","=""37021003107""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003108","NC","37021003108","=""37021003108""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003201","NC","37021003201","=""37021003201""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003202","NC","37021003202","=""37021003202""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003203","NC","37021003203","=""37021003203""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003204","NC","37021003204","=""37021003204""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37021003205","NC","37021003205","=""37021003205""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020100","NC","37023020100","=""37023020100""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020202","NC","37023020202","=""37023020202""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020203","NC","37023020203","=""37023020203""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020204","NC","37023020204","=""37023020204""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020301","NC","37023020301","=""37023020301""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020303","NC","37023020303","=""37023020303""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020304","NC","37023020304","=""37023020304""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020500","NC","37023020500","=""37023020500""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020600","NC","37023020600","=""37023020600""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020801","NC","37023020801","=""37023020801""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020802","NC","37023020802","=""37023020802""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020901","NC","37023020901","=""37023020901""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023020902","NC","37023020902","=""37023020902""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021000","NC","37023021000","=""37023021000""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021100","NC","37023021100","=""37023021100""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021201","NC","37023021201","=""37023021201""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021202","NC","37023021202","=""37023021202""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021203","NC","37023021203","=""37023021203""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021301","NC","37023021301","=""37023021301""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021302","NC","37023021302","=""37023021302""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37023021400","NC","37023021400","=""37023021400""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37025040501","NC","37025040501","=""37025040501""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37025040502","NC","37025040502","=""37025040502""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37025040600","NC","37025040600","=""37025040600""","Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
